T_K,T_C,vertex,fraction,CU,NI,CR,SI
1456.15,1183.0,1,0.9832746595448444,0.008524785605205636,0.9562695564102699,0.022063828896878017,0.013141829087646476
1456.65,1183.5,0,0.01668931329706296,0.07502318706191045,0.013111666587163869,0.6175055324492648,0.294359613901661
1456.65,1183.5,1,0.983310686720224,0.008528905037902147,0.9562345891627575,0.022085197625283614,0.013151308174056887
1457.15,1184.0,0,0.01665328291750466,0.07492440905520467,0.013135875666495505,0.6175316841231702,0.29440803115512965
1457.15,1184.0,1,0.9833467170720046,0.008533014264167502,0.9561996226054575,0.022106571286393067,0.013160791843981983
1457.65,1184.5,0,0.016617249272831654,0.07482580061214503,0.01316011656733913,0.6175576819117592,0.29445640090875685
1457.65,1184.5,1,0.9833827507446381,0.00853711330343186,0.9561646567285951,0.022127949861018018,0.013170280106955078
1458.15,1185.0,0,0.016581212349514738,0.07472736154985672,0.013184389323051023,0.617583525961589,0.2945047231655033
1458.15,1185.0,1,0.9834187876556862,0.00854120217483295,0.9561296915282929,0.02214933334906149,0.013179772947812583
1458.65,1185.5,0,0.01654517216451186,0.07462909183042499,0.013208693968688985,0.6176092162460282,0.29455299795485795
1458.65,1185.5,1,0.9834548278372541,0.0085452809105886,0.9560947269853649,0.022170721729478274,0.01318927037456823
1459.15,1186.0,0,0.01650912867426371,0.07453099121309904,0.013233030537531554,0.6176347529325059,0.29460122531686356
1459.15,1186.0,1,0.9834908713163406,0.008549349524614839,0.956059763097813,0.022192114997059264,0.013198772380512789
1459.65,1186.5,0,0.016473081906648503,0.07443305960334462,0.01325739906407836,0.6176601360663365,0.29464940526624067
1459.65,1186.5,1,0.9835269181034767,0.008553408044361171,0.9560247998524224,0.022213513140244657,0.013208278962971725
1460.15,1187.0,0,0.016437031831390767,0.07433529681962857,0.01328179958224023,0.617685365760851,0.2946975378372803
1460.15,1187.0,1,0.9835629681815387,0.00855745648937098,0.955989837242072,0.02223491615001464,0.013217790118542431
1460.65,1187.5,0,0.016400978394754056,0.07423770269427095,0.01330623212629834,0.6177104420973529,0.2947456230820778
1460.65,1187.5,1,0.9835990216302996,0.008561494880436104,0.9559548752568253,0.022256324011018572,0.013227305851720016
1461.15,1188.0,0,0.016364921617458075,0.0741402770077598,0.013330696729829469,0.6177353652356008,0.2947936610268099
1461.15,1188.0,1,0.9836350783844185,0.008565523233861621,0.9559199138934237,0.022277736720126486,0.013236826152588168
1461.65,1188.5,0,0.01632886149506812,0.07404301976702471,0.013355193428563405,0.6177601351199443,0.2948416516844675
1461.65,1188.5,1,0.9836711385141045,0.008569541586920628,0.9558849531289865,0.022299154256911254,0.013246351027181465
1462.15,1189.0,0,0.01629279800313006,0.07394593066165735,0.013379722255554467,0.6177847519764667,0.2948895951063216
1462.15,1189.0,1,0.9837072020214711,0.008573549947642962,0.9558499929662022,0.02232057661960794,0.013255880466546953
1462.65,1189.5,0,0.016256731094273728,0.07384900958223482,0.013404283245907164,0.6178092158273433,0.2949374913445147
1462.65,1189.5,1,0.9837432689160144,0.008577548342603672,0.9558150333893104,0.022342003787505827,0.01326541448058014
1463.15,1190.0,0,0.016220660820245654,0.07375225649573743,0.013428876434483462,0.6178335267242285,0.29498534034555063
1463.15,1190.0,1,0.9837793391800057,0.008581536806271241,0.9557800743839338,0.022363435762905032,0.013274953046890118
1463.65,1190.5,0,0.016184587130693106,0.07365567101609023,0.013453501854573688,0.6178576848878213,0.2950331422415148
1463.65,1190.5,1,0.9838154128807898,0.00858551533939338,0.9557451159528331,0.022384872528137194,0.013284496179636285
1464.15,1191.0,0,0.016148509992992464,0.07355925313855842,0.013478159541828483,0.617881690302887,0.29508089701672624
1464.15,1191.0,1,0.9838514899960584,0.008589483979036226,0.9557101580757147,0.022406314072127505,0.013294043873121643
1464.65,1191.5,0,0.01611242942735413,0.07346300256122593,0.013502849529855502,0.6179055431682727,0.29512860474064595
1464.65,1191.5,1,0.9838875705762454,0.008593442734266415,0.9556752007525192,0.022427760387266925,0.013303596125947493
1465.15,1192.0,0,0.016076345401934946,0.07336691925900779,0.013527571854332366,0.6179292434791385,0.2951762654075214
1465.15,1192.0,1,0.9839236546087016,0.00859739164047277,0.9556402439636974,0.02244921146158927,0.01331315293424053
1465.65,1192.5,0,0.01604025790218821,0.0732710030427359,0.013552326549889386,0.6179527913434139,0.2952238790639609
1465.65,1192.5,1,0.9839597420684327,0.008601330717571616,0.9556052877004053,0.022470667283524134,0.013322714298498935
1466.15,1193.0,0,0.016004166939993014,0.07317525368148292,0.013577113650807209,0.6179761869096451,0.29527144575806474
1466.15,1193.0,1,0.9839958330665511,0.008605259981634295,0.9555703319574411,0.022492127845004428,0.013332280215920155
1466.65,1193.5,0,0.01596807245550699,0.07307967109970487,0.013601933192737701,0.6179994301957693,0.29531896551178805
1466.65,1193.5,1,0.9840319275131503,0.008609179463552961,0.9555353767172141,0.022513593130920044,0.01334185068831287
1467.15,1194.0,0,0.0159319744807449,0.07298425499804616,0.013626785209194458,0.618022521436646,0.2953664383561133
1467.15,1194.0,1,0.9840680254977792,0.008613089173251584,0.9555004219820248,0.022535063144563557,0.01335142570016019
1467.65,1194.5,0,0.015895872968218594,0.07288900528079154,0.013651669736267493,0.6180454606211105,0.29541386436183037
1467.65,1194.5,1,0.9841041270415941,0.008616989139618152,0.955465467731963,0.02255653785878172,0.01336100526963726
1468.15,1195.0,0,0.015859767910935886,0.07279392173811379,0.0136765868082704,0.6180682479159434,0.2954612435376725
1468.15,1195.0,1,0.9841402320711611,0.008620879381294707,0.9554305139626009,0.02257801727490059,0.013370589381203758
1468.65,1195.5,0,0.01582365932986018,0.07269900425201048,0.01370153646073718,0.6180908833752684,0.295508575911984
1468.65,1195.5,1,0.9841763406807794,0.008624759925569082,0.9553955606592475,0.022599501380047935,0.013380178035135429
1469.15,1196.0,0,0.015787547138295006,0.07260425264862759,0.01372651872889627,0.6181133670900204,0.29555586153245567
1469.15,1196.0,1,0.984212452862146,0.008628630794436765,0.9553606078107256,0.022620990161067327,0.013389771233770251
1469.65,1196.5,0,0.015751431384388954,0.07250966672226992,0.013751533647601245,0.6181356991929347,0.29560310043719434
